x,y,z
51.066,307.978,44.805
52.486,306.829,38.576
54.277,305.015,31.334
50.65,308.842,50.165
50.852,308.701,47.376
51.154,308.204,44.68
51.571,308.077,42.774
50.789,308.526,47.53
53.095,306.093,35.851
51.031,311.568,67.899
55.537,307.749,74.73
54.749,306.266,58.408
54.654,306.212,57.797
55.646,303.56,45.912
57.745,301.239,35.613
57.74,301.114,35.52
56.947,302.328,37.992
57.315,301.711,36.195
56.023,303.281,41.818
56.48,302.363,38.461
55.654,303.637,46.462
54.647,306.935,61.702
54.618,307.06,62.966
54.819,307.523,66.308
54.749,307.34,66.293
54.749,307.379,68.087
55.157,307.818,71.269
55.051,307.644,71.355
56.196,307.641,78.755
54.531,306.134,57.959
58.08,301.159,34.015
58.87,301.277,32.872
58.29,301.249,33.904
57.164,302.025,37.294
55.63,303.598,46.352
55.278,303.975,47.218
54.931,304.915,51.763
54.66,305.481,54.812
54.681,305.471,54.592
54.665,305.713,55.631
55.094,307.662,71.551
55.135,307.661,71.72
54.954,307.521,69.519
54.688,306.641,60.214
54.561,307.052,63.222
54.91,304.244,47.604
54.617,306.137,57.654
54.67,307.321,65.462
54.597,307.245,64.154
54.467,307.043,63.532
54.602,306.047,57.14
56.253,302.893,40.175
54.658,306.101,57.272
55.591,303.729,46.671
56.847,301.893,37.729
57.936,301.176,34.345
54.866,305.013,52.317
54.926,304.787,51.137
54.644,306.185,57.933
54.625,306.09,57.404
56.338,307.536,79.421
54.965,304.723,50.727
54.709,305.53,55.156
55.424,313.558,12.835
60.111,313.119,10.713
69.283,310.798,8.546
72.175,309.552,8.036
69.405,311.06,8.675
69.612,311.391,8.746
53.536,313.54,14.594
54.137,313.261,13.566
56.143,313.384,12.258
57.151,313.137,11.677
58.571,313.286,11.313
55.261,313.406,12.884
56.372,313.12,11.9
39.752,318.401,36.844
37.546,319.725,42.322
40.582,317.506,35.941
40.153,317.448,38.516
37.96,319.284,40.901
37.462,319.632,42.478
39.775,318.743,56.267
41.736,317.592,41.266
41.981,317.483,40.543
40.429,318.096,47.338
39.746,318.877,59.015
40.059,318.915,64.808
39.491,318.239,67.365
39.876,318.501,52.177
42.157,317.527,40.292
39.425,318.238,67.228
39.872,318.444,51.647
39.536,318.198,68.511
39.397,318.659,58.531
40.584,318.185,46.398
39.94,318.871,64.0
40.106,319.071,65.405
42.657,318.005,77.204
42.093,318.011,75.973
41.004,318.248,72.44
35.676,321.069,66.009
35.709,321.101,65.872
36.976,321.244,65.513
40.898,320.0,35.999
41.129,320.018,36.505
43.749,318.131,26.94
43.505,318.464,27.617
66.638,319.15,3.617
64.546,319.423,3.891
60.437,321.204,5.917
60.676,321.315,5.834
59.644,321.491,6.304
58.632,321.368,6.614
52.022,323.122,10.144
50.98,323.178,10.838
50.877,322.912,10.716
46.298,322.969,15.16
55.995,321.259,7.108
50.151,323.28,11.472
47.353,322.597,11.849
59.626,321.166,6.196
53.422,322.5,9.157
62.184,320.574,5.029
59.602,320.743,5.795
50.806,323.35,11.047
45.576,322.992,15.953
51.173,323.01,10.61
47.702,322.596,11.662
58.925,321.241,6.47
61.809,320.103,4.517
56.313,321.146,6.905
49.547,322.352,10.156
52.687,322.793,9.633
48.327,322.992,12.517
58.636,321.11,6.428
62.06,320.075,4.543
58.863,320.998,6.267
61.763,320.455,4.994
51.023,322.769,10.473
55.682,321.994,7.945
61.955,320.42,4.94
68.757,313.008,2.898
70.38,311.894,1.998
72.02,308.515,3.772
72.363,308.763,2.86
43.899,337.392,8.181
39.652,339.079,14.968
31.636,340.712,31.636
29.941,340.37,40.053
29.778,340.391,40.414
29.954,340.373,40.243
29.665,340.434,41.728
29.634,340.423,44.501
30.809,340.465,32.188
31.489,340.623,26.846
29.724,340.364,45.998
41.998,337.602,12.372
42.263,337.76,12.978
55.916,333.664,0.612
54.868,333.653,1.209
47.26,337.618,5.595
43.258,337.74,12.595
47.589,333.168,9.122
32.893,339.873,23.987
30.481,340.525,33.44
30.423,340.42,35.903
29.974,340.479,38.124
30.532,340.628,40.702
34.75,339.72,17.057
30.231,340.466,35.904
32.456,339.979,24.955
30.255,340.425,37.077
35.076,339.788,18.668
33.294,339.72,20.03
34.227,340.047,20.985
30.093,340.312,39.361
35.902,339.379,16.835
47.604,333.041,9.199
44.491,336.236,10.716
33.094,339.735,20.597
35.735,339.416,16.877
44.559,339.045,6.998
40.862,341.881,8.012
40.13,341.454,8.928
40.693,338.432,11.124
42.591,338.957,8.517
52.674,325.428,5.698
56.297,324.178,3.387
71.495,321.757,-5.943
73.22,321.053,-5.855
52.507,325.349,5.864
71.237,321.668,-5.806
71.512,321.533,-5.782
73.187,319.599,-5.847
29.679,337.378,42.79
30.03,337.454,39.748
31.041,337.179,31.015
29.566,337.641,44.324
30.05,337.378,39.847
30.069,337.08,38.954
30.998,337.254,31.243
29.482,338.004,47.175
29.465,337.983,47.089
31.576,337.26,26.956
30.813,337.38,32.508
29.555,337.674,45.182
30.331,344.255,31.193
30.315,344.241,31.433
31.229,344.67,26.335
31.402,344.784,24.628
31.551,344.891,24.21
29.414,344.176,36.633
30.031,343.996,32.121
28.951,343.847,38.352
30.584,344.434,29.483
30.343,344.259,31.072
24.706,355.002,38.059
24.846,354.842,41.025
24.737,355.157,36.485
24.665,355.106,36.63
24.989,355.408,29.98
24.953,355.307,32.814
24.975,355.372,32.295
24.797,355.161,35.9
24.745,354.925,39.875
24.726,354.989,37.866
24.761,355.023,35.242
24.65,354.973,38.535
24.931,355.078,35.511
26.412,351.032,47.779
26.467,351.222,50.396
27.1,351.368,57.128
27.361,351.388,58.876
27.466,351.257,61.585
27.589,351.359,61.689
27.675,351.302,62.842
27.658,351.208,63.412
27.738,351.189,63.607
28.846,351.795,79.048
30.07,351.54,85.013
35.033,348.961,100.337
40.902,347.226,109.496
43.999,346.777,112.929
25.531,350.608,29.984
28.971,351.911,77.15
28.667,351.69,75.187
27.84,351.252,66.468
26.561,351.282,53.529
26.267,350.986,45.505
26.273,350.988,46.88
25.743,351.221,37.842
25.525,350.688,30.486
25.583,351.059,33.885
25.628,351.098,34.039
25.966,350.937,42.883
26.384,351.036,45.883
26.509,351.199,48.407
26.689,351.364,51.954
26.969,351.171,55.863
26.876,351.181,57.348
26.976,351.016,56.272
28.288,351.46,69.338
28.141,351.357,69.092
28.86,351.828,77.081
28.977,351.856,78.304
28.969,351.924,76.943
29.465,351.98,80.879
29.243,351.3,86.457
31.084,350.46,92.363
32.044,349.949,96.07
34.718,349.251,99.5
39.729,347.618,107.774
44.421,346.605,114.082
25.783,350.761,40.256
25.546,351.04,32.461
26.381,351.043,45.733
28.501,351.696,72.061
29.474,351.143,87.492
41.568,347.099,110.335
30.88,350.522,92.268
28.386,351.739,72.833
26.053,350.938,44.43
27.875,351.341,66.937
28.728,351.738,75.685
28.589,351.804,73.099
26.322,351.012,46.333
26.829,351.318,54.566
26.384,351.001,47.038
25.653,350.726,40.031
27.883,351.166,65.534
